year,name,price,brand
2012,NIKE LUNARGLIDE+ 4 ,145,nike
2012,NIKE FREE RUN 3 HYBRID ,130,nike
2012,JORDAN SPIZIKE ,210,nike
2013,Nike Air Max+ 2013,180,nike
2013,Nike Air Max+ 2013 iD,220,nike
2013,LeBron X,180,nike
2013,LeBron X iD,230,nike
2013,Nike Flyknit Lunar1+,160,nike
2013,Nike Flyknit Lunar1+ iD,200,nike
2013,Nike Flyknit Lunar1+ iD,200,nike
2013,Nike Free 5.0+,100,nike
2013,Nike Free 5.0+ iD,135,nike
2013,Nike Air Max+ 2013,180,nike
2013,Nike Air Max+ 2013 iD,220,nike
2013,Nike Free 5.0+,100,nike
2013,Nike Free 5.0+ iD,135,nike
2013,Nike Dri-FIT Flat-Front Tech,80,nike
2013,Nike Free Trainer 5.0,95,nike
2013,Nike Free Trainer 5.0 iD,135,nike
2013,Nike CTR360 Maestri III FG,200,nike
2013,Nike Tiempo Legend IV FG,160,nike
2013,Nike Tiempo Legend IV iD,190,nike
2013,Nike Air Force 1 07,90,nike
2013,Nike Air Force 1 Low Premium iD,190,nike
2013,Nike Zoom Vapor 9 Tour,130,nike
2013,Nike Zoom Vapor 9 Tour iD Grass,165,nike
2013,Nike Zoom Vapor 9 Tour iD Hard Court,165,nike
2013,Nike Zoom Vapor 9 Tour iD Clay,165,nike
2013,Nike Studio Wrap Pack,110,nike
2013,Nike Air Max Courtballistec 4.3,130,nike
2013,Nike Air Max LeBron X Low,165,nike
2013,Nike Zoom Courtlite 3,80,nike
2013,Nike Free Trainer 7.0,110,nike
2013,Nike Free 3.0,110,nike
2013,Nike Free 3.0 iD,135,nike
2013,Nike Free 3.0 iD,135,nike
2013,Jordan Spizike iD,210,nike
2013,Nike Flyknit Lunar1+,160,nike
2013,Nike Flyknit Lunar1+ iD,200,nike
2013,Nike Flyknit Lunar1+ iD,200,nike
2013,Nike LunarGlide+ 4,110,nike
2013,Nike Mercurial Vapor IX FG,225,nike
2013,Nike Mercurial Vapor IX FG iD,265,nike
2013,Nike City Court VII,60,nike
2013,Nike Air Max+ 2013 Premium,190,nike
2013,Nike Free Trainer 3.0,110,nike
2013,Nike Lunar Hyperdunk 2012,140,nike
2013,Nike Hyperdunk iD,180,nike
2013,Nike LunarEclipse+ 3,135,nike
2013,LeBron X PS Elite,260,nike
2013,LeBron X PS Elite,260,nike
2013,LeBron X PS Elite,260,nike
2013,LeBron X P.S. Elite iD,310,nike
2013,Nike Dunk Sky Hi Print,120,nike
2013,KD V Elite,180,nike
2013,Nike LunarGlide+ 4,110,nike
2014,Kobe 8 System GUMBO iD,195,nike
2014,Nike Free 5.0+ iD,135,nike
2014,Nike Free TR 4 iD,140,nike
2014,KD VI GUMBO iD,195,nike
2014,LeBron 11 GUMBO iD,265,nike
2014,Nike Flyknit Lunar2,150,nike
2014,Nike Flyknit Air Max,225,nike
2014,LeBron 11,200,nike
2014,Nike Zoom Kobe Venomenon 4,120,nike
2014,Kobe 8 System,160,nike
2014,Nike Flyknit Air Max,225,nike
2014,Nike Free TR 4 iD,140,nike
2014,Nike Studio Wrap Pack,110,nike
2014,Nike Dunk Sky Hi Print,125,nike
2014,Nike Air Max Lunar90,130,nike
2014,Nike Air Max 2014,145,nike
2014,LeBron 11,140,nike
2014,Nike Free 5.0 LE (3.5y-7y),87,nike
2014,Nike Air Pegasus+ 30,75,nike
2014,Nike Lunar Sprint LE,100,nike
2014,Nike Free 5.0,82,nike
2014,Nike Tailwind 6,100,nike
2014,Nike Air Max 2014,145,nike
2014,Nike Air Pegasus+ 30,75,nike
2014,Nike Roshe Run,60,nike
2015,Nike Free 3.0 Flyknit,140,nike
2015,Nike Free 4.0 Flyknit,120,nike
2015,Nike Free 4.0 Flyknit iD,160,nike
2015,Nike Free 4.0 iD,140,nike
2015,Nike Free 5.0,100,nike
2015,Nike Free 5.0 iD,140,nike
2015,Nike Free Trainer 5.0 V6,100,nike
2015,Nike Free Trainer 5.0 V6 iD,140,nike
2015,Kobe X,180,nike
2015,Kobe X iD,225,nike
2015,Kyrie 1,110,nike
2015,Kyrie 1 iD,155,nike
2015,KD7,150,nike
2015,KD7 iD,195,nike
2015,LeBron 12,200,nike
2015,LeBron 12 iD,245,nike
2015,Nike Flyknit Lunar 3,150,nike
2015,Nike Flyknit Lunar 3 iD,190,nike
2015,Nike SB Stefan Janoski Max L,110,nike
2015,Nike SB Stefan Janoski Max iD,150,nike
2015,Nike Air Max 90 Essential,110,nike
2015,Nike Air Max 1 Essential,110,nike
2015,Nike Air Max Lunar90,140,nike
2015,Nike Air Max 90 iD,150,nike
2015,Nike Air Max 1 Ultra Moire,130,nike
2015,Nike Air Max 1 Ultra Moire iD,170,nike
2015,Nike Air Max 95,160,nike
2015,Nike Air Max 93,125,nike
2015,Nike Metcon 1,120,nike
2015,Nike Zoom Speed Trainer 2,90,nike
2015,Nike Free Trainer 3.0 V3,110,nike
2015,Nike Lunar Trainer 1,110,nike
2015,Jordan Dub Zero,160,nike
2015,Jordan Flight Runner 2,120,nike
2015,Jordan Super.Fly 3,140,nike
2015,Jordan FLIGHTFLEX,100,nike
2015,Nike Roshe One,75,nike
2015,Nike Air Huarache Run iD,140,nike
2015,Nike Air Max 1 Leather PA,140,nike
2015,Nike Air Force 1 07 LV8,100,nike
2015,Nike Mercurial Superfly FG CR7,300,nike
2015,Nike Mercurial Superfly CR AG-R,305,nike
2015,Nike Magista Obra FG,275,nike
2015,Nike LunarTempo,110,nike
2015,Nike Air Zoom Elite 7,110,nike
2015,Nike LunarGlide 6 iD,145,nike
2015,Nike LunarGlide 6,110,nike
2015,Nike TW '15,200,nike
2015,Nike Lunar Control 3,170,nike
2015,Nike Lunar Control 3 iD,210,nike
2015,Nike Lunar Clayton,250,nike
2015,Jordan Illusion,105,nike
2015,Jordan Melo 11,160,nike
2015,Nike Zoom Cage 2,120,nike
2015,Nike Zoom Vapor 9 Tour iD,165,nike
2015,Nike Air Zoom Structure 18,120,nike
2015,Nike Air Zoom Structure 18 iD,155,nike
2015,Nike Air Zoom Pegasus 31,100,nike
2015,Nike Air Zoom Pegasus 31 iD,135,nike
2015,Nike Flyknit Trainer Chukka SFB,200,nike
2016,Nike LunarEpic Low Flyknit ULTD,160,nike
2016,Nike Free RN Flyknit ULTD,130,nike
2016,Nike Zoom KD 9,150,nike
2016,Nike Hyperdunk 2016 Flyknit,200,nike
2016,Nike Free RN ULTD,100,nike
2016,Nike Air Zoom Pegasus 33 ULTD,110,nike
2016,Nike Metcon 2,130,nike
2016,Nike Free Train Force Flyknit,150,nike
2016,Nike Air Max 1 Premium iD,175,nike
2016,Nike Air Force 1 Low Premium iD,165,nike
2016,Nike Air Max 90 Premium iD,175,nike
