year,name,price
2014,Kobe 8 System GUMBO iD,195
2014,Nike Free 5.0+ iD,135
2014,Nike Free TR 4 iD,140
2014,KD VI GUMBO iD,195
2014,LeBron 11 GUMBO iD,265
2014,Nike Flyknit Lunar2,150
2014,Nike Flyknit Air Max,225
2014,LeBron 11,200
2014,Nike Zoom Kobe Venomenon 4,120
2014,Kobe 8 System,160
2014,Nike Flyknit Air Max,225
2014,Nike Free TR 4 iD,140
2014,Nike Studio Wrap Pack,110
2014,Nike Dunk Sky Hi Print,125
2014,Nike Air Max Lunar90,130
2014,Nike Air Max 2014,145
2014,LeBron 11,140
2014,Nike Free 5.0 LE (3.5y-7y),87
2014,Nike Air Pegasus+ 30,75
2014,Nike Lunar Sprint LE,100
2014,Nike Free 5.0,82
2014,Nike Tailwind 6,100
2014,Nike Air Max 2014,145
2014,Nike Air Pegasus+ 30,75
2014,Nike Roshe Run,60
