year,name,price
2021,Nike Air VaporMax Evo,260
2021,Nike Air Max 95 EOI,235
2021,LeBron 18 'White/Black/Gold',260
2021,Kyrie 7 'Brooklyn Beats',170
2021,Nike Air Max 2090,180
2021,Nike Space Hippie 04,170
2021,Nike Air Max 97 EOI,235
2021,Nike React Vision,185
2021,Nike Air Max Plus EOI,225
2021,Nike Air Max SC,100
2021,Nike Air Max Bolt,115
2021,Nike Air Max Tailwind V SP,225
2021,Nike Air Force 1 '07,135
2021,Nike Air Max Plus,225
2021,Jordan MA2,170
2021,Air Jordan XXXV,235
2021,Nike ZoomX Vaporfly NEXT%,330
2021,Nike Air Zoom Pegasus 37 Premium,155
2021,NikeCourt React Vapor NXT,210
2021,Nike Air Zoom Terra Kiger 7,180
2021,Nike Mercurial Dream Speed Superfly 8 Elite FG,385
2021,Nike Mercurial Dream Speed Superfly 8 Academy MG,125
2021,PG 5,145
2021,Nike Air Force 1,170
